"","county","date","medi_cal","unemployment","calfresh"
"1","Alameda",2014-01-01,"340<U+202F>549",6.5,64394
"2","Alameda",2014-02-01,"349<U+202F>927",6.4,63674
"3","Alameda",2014-03-01,"365<U+202F>622",6.4,64297
"4","Alameda",2014-04-01,"373<U+202F>571",5.5,64208
"5","Alameda",2014-05-01,"378<U+202F>218",5.6,64582
"6","Alameda",2014-06-01,"381<U+202F>831",5.9,64635
"7","Alameda",2014-07-01,"385<U+202F>839",6.3,64020
"8","Alameda",2014-08-01,"389<U+202F>814",6.1,63835
"9","Alameda",2014-09-01,"393<U+202F>082",5.5,63346
"10","Alameda",2014-10-01,"396<U+202F>515",5.4,63146
"11","Alameda",2014-11-01,"399<U+202F>493",5.3,62544
"12","Alameda",2014-12-01,"408<U+202F>267",4.9,62620
"13","Alameda",2015-01-01,"417<U+202F>075",5.3,61869
"14","Alameda",2015-02-01,"418<U+202F>769",5.1,60825
"15","Alameda",2015-03-01,"419<U+202F>444",5,61063
"16","Alameda",2015-04-01,"422<U+202F>488",4.6,61121
"17","Alameda",2015-05-01,"421<U+202F>856",4.6,61465
"18","Alameda",2015-06-01,"423<U+202F>922",4.9,62196
"19","Alameda",2015-07-01,"425<U+202F>013",5.1,62663
"20","Alameda",2015-08-01,"429<U+202F>357",4.8,62557
"21","Alameda",2015-09-01,"432<U+202F>134",4.4,62511
"22","Alameda",2015-10-01,"434<U+202F>830",4.5,62653
"23","Alameda",2015-11-01,"439<U+202F>836",4.4,62107
"24","Alameda",2015-12-01,"443<U+202F>416",4.2,61842
"25","Alameda",2016-01-01,"445<U+202F>324",4.4,61221
"26","Alameda",2016-02-01,"443<U+202F>372",4.4,61056
"27","Alameda",2016-03-01,"446<U+202F>065",4.5,61189
"28","Alameda",2016-04-01,"441<U+202F>010",4.2,61011
"29","Alameda",2016-05-01,"438<U+202F>953",3.8,61172
"30","Alameda",2016-06-01,"438<U+202F>222",4.5,61033
"31","Alameda",2016-07-01,"437<U+202F>360",4.7,60323
"32","Alameda",2016-08-01,"437<U+202F>878",4.5,60357
"33","Alameda",2016-09-01,"439<U+202F>613",4.2,60124
"34","Alameda",2016-10-01,"439<U+202F>407",4.3,59986
"35","Alameda",2016-11-01,"439<U+202F>064",3.9,59482
"36","Alameda",2016-12-01,"441<U+202F>488",3.9,59072
"37","Alameda",2017-01-01,"439<U+202F>934",4.3,58727
"38","Alameda",2017-02-01,"437<U+202F>440",4,57353
"39","Alameda",2017-03-01,"439<U+202F>721",3.8,57764
"40","Alameda",2017-04-01,"436<U+202F>888",3.5,56804
"41","Alameda",2017-05-01,"434<U+202F>884",3.4,57144
"42","Alameda",2017-06-01,"434<U+202F>578",3.8,57141
"43","Alameda",2017-07-01,"434<U+202F>483",4.1,56864
"44","Alameda",2017-08-01,"438<U+202F>030",4,57382
"45","Alameda",2017-09-01,"437<U+202F>699",3.4,57189
"46","Alameda",2017-10-01,"437<U+202F>114",3.3,57502
"47","Alameda",2017-11-01,"435<U+202F>858",3.1,56882
"48","Alameda",2017-12-01,"438<U+202F>788",3,56587
"49","Alameda",2018-01-01,"436<U+202F>852",3.3,56497
"50","Alameda",2018-02-01,"435<U+202F>330",3.2,55019
"51","Alameda",2018-03-01,"433<U+202F>610",2.9,55632
"52","Alameda",2018-04-01,"431<U+202F>826",2.7,55132
"53","Alameda",2018-05-01,"430<U+202F>028",2.6,55154
"54","Alameda",2018-06-01,"428<U+202F>875",3.3,55241
"55","Alameda",2018-07-01,"428<U+202F>026",3.2,54734
"56","Alameda",2018-08-01,"427<U+202F>256",3.1,54766
"57","Alameda",2018-09-01,"427<U+202F>309",2.8,54088
"58","Alameda",2018-10-01,"426<U+202F>653",2.9,54429
"59","Alameda",2018-11-01,"424<U+202F>388",2.8,53759
"60","Alameda",2018-12-01,NA,2.8,53319
"61","Alameda",2019-01-01,NA,0.3,53529
"62","Alameda",2019-03-01,NA,3.3,51429
"63","Alameda",2019-04-01,NA,2.7,51134
"64","Alameda",2019-05-01,NA,2.5,51206
"65","Alameda",2019-06-01,NA,3.1,58481
"66","Alameda",2019-07-01,NA,3.3,59750
"67","Alameda",2019-08-01,NA,3.1,62122
"68","Alameda",2019-09-01,NA,2.5,63246
"69","Alameda",2019-10-01,NA,2.6,64496
"70","Alameda",2019-11-01,NA,2.6,64654
"71","Alameda",2019-12-01,NA,2.5,65129
"72","Alameda",2020-01-01,NA,3.1,65302
"73","Alameda",2020-02-01,NA,3,65156
"74","Alameda",2020-03-01,NA,3.8,66424
"75","Alameda",2020-04-01,NA,14.1,76979
"76","Alameda",2020-05-01,NA,13.5,82572
"77","Alameda",2020-06-01,NA,13.4,86632
